                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5053,                 3.4959,                 1.6345,                 0.6732,                0.17051,                0.36322,                0.17861,                 1.5283,                 2.9362,                 1.6666,              0.0002351,              0.0002351,              0.0002351
                      2,                 1.4088,                 2.4801,                 1.5649,                0.40889,                   0.53,                0.44048,                0.22589,                 1.5894,                 2.5059,                 1.7058,             0.00047154,             0.00047154,             0.00047154
                      3,                 1.4026,                 2.2924,                  1.566,                0.48551,                0.53665,                0.53524,                0.29345,                 1.5495,                 2.1879,                 1.7503,              0.0007064,              0.0007064,              0.0007064
                      4,                 1.3846,                 2.1595,                 1.5667,                0.53188,                0.47263,                0.50176,                0.27747,                 1.5156,                 2.3549,                  1.752,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.3739,                 1.9898,                 1.5441,                0.60997,                0.56465,                0.54785,                0.30842,                 1.4997,                 2.1089,                 1.7279,             0.00070458,             0.00070458,             0.00070458
                      6,                  1.338,                 1.8767,                 1.5021,                0.58778,                0.51316,                0.53482,                0.28147,                 1.5773,                  2.081,                  1.751,             0.00070222,             0.00070222,             0.00070222
                      7,                 1.3172,                 1.7542,                 1.4822,                0.66002,                0.55869,                0.60667,                0.33277,                 1.5333,                 1.9187,                 1.7139,             0.00069986,             0.00069986,             0.00069986
                      8,                 1.2763,                 1.6551,                 1.4552,                0.57783,                0.61713,                0.63351,                0.36477,                 1.4892,                 1.7583,                 1.6977,             0.00069751,             0.00069751,             0.00069751
                      9,                  1.255,                 1.5993,                  1.443,                0.63163,                0.53854,                0.61135,                0.33178,                 1.5767,                 1.8963,                 1.7786,             0.00069515,             0.00069515,             0.00069515
                     10,                 1.2525,                 1.5377,                 1.4506,                0.62766,                0.55748,                0.59908,                0.34545,                 1.5763,                 1.7098,                 1.7036,             0.00069279,             0.00069279,             0.00069279
                     11,                 1.2021,                 1.4557,                 1.4059,                0.63318,                0.55441,                0.61251,                0.33184,                 1.5732,                 1.7223,                 1.7316,             0.00069044,             0.00069044,             0.00069044
                     12,                 1.2042,                 1.4288,                  1.396,                0.64889,                0.60147,                0.67632,                0.40136,                 1.4674,                 1.5258,                 1.6375,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.1798,                 1.3743,                 1.3906,                0.68836,                0.65627,                0.67076,                0.38839,                 1.4897,                 1.4924,                 1.6831,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.1498,                 1.2779,                  1.355,                0.71851,                  0.623,                0.69122,                0.39079,                 1.4883,                 1.5387,                 1.6748,             0.00068337,             0.00068337,             0.00068337
                     15,                  1.137,                 1.2579,                  1.359,                0.71341,                0.63651,                0.68113,                0.38365,                 1.5343,                  1.523,                 1.6744,             0.00068101,             0.00068101,             0.00068101
                     16,                  1.148,                 1.2537,                 1.3623,                0.63248,                0.65398,                0.65266,                0.35812,                 1.5069,                 1.5681,                 1.6385,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.1198,                  1.176,                 1.3242,                0.65516,                0.65092,                0.68819,                 0.4102,                 1.4348,                 1.4514,                  1.598,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.0956,                 1.1719,                 1.3298,                0.67561,                0.63683,                0.66523,                0.36918,                 1.5208,                  1.485,                 1.6815,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.0897,                 1.1555,                 1.3136,                0.66846,                0.62393,                0.66018,                0.37323,                 1.5192,                 1.4985,                 1.7126,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.0823,                 1.1285,                 1.3143,                0.73904,                0.65635,                0.69988,                0.42099,                 1.4456,                 1.4178,                 1.6482,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.0632,                    1.1,                 1.2905,                0.69335,                0.71667,                0.72936,                0.42312,                 1.4792,                 1.4318,                 1.6894,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.0455,                 1.0815,                 1.2891,                0.70802,                0.63924,                0.72714,                0.39851,                 1.4889,                 1.3799,                 1.6589,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.0259,                 1.0453,                 1.2756,                0.66402,                0.64733,                0.68767,                0.39502,                 1.4907,                 1.4135,                 1.6646,             0.00066216,             0.00066216,             0.00066216
                     24,                  1.026,                 1.0257,                 1.2684,                0.65173,                0.69891,                 0.7127,                0.40029,                 1.4688,                  1.406,                 1.6375,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.0193,                 1.0018,                 1.2701,                0.73823,                0.65614,                0.72337,                0.43052,                 1.4879,                 1.3484,                 1.6753,             0.00065745,             0.00065745,             0.00065745
                     26,                0.99875,                0.98028,                  1.256,                0.69148,                0.65424,                0.69623,                0.37755,                 1.5816,                 1.3546,                 1.7255,             0.00065509,             0.00065509,             0.00065509
                     27,                0.99716,                 0.9715,                 1.2337,                0.80844,                0.65993,                0.75476,                0.42785,                 1.4828,                 1.3744,                 1.6701,             0.00065274,             0.00065274,             0.00065274
                     28,                0.98836,                0.97804,                 1.2572,                 0.6738,                0.69318,                0.69716,                0.41712,                  1.435,                 1.4259,                 1.6345,             0.00065038,             0.00065038,             0.00065038
                     29,                0.96575,                0.91622,                 1.2175,                0.79954,                0.63967,                0.72901,                0.42811,                 1.4741,                  1.321,                 1.6885,             0.00064803,             0.00064803,             0.00064803
                     30,                0.96155,                0.93337,                 1.2303,                0.68035,                0.66552,                0.69621,                0.40071,                 1.4915,                 1.4435,                 1.6888,             0.00064567,             0.00064567,             0.00064567
                     31,                0.95039,                0.91509,                 1.2256,                0.71672,                0.70507,                0.70784,                0.40217,                 1.4588,                 1.3425,                 1.6482,             0.00064331,             0.00064331,             0.00064331
                     32,                0.95261,                0.91087,                 1.2233,                0.75876,                0.61254,                0.68967,                0.38345,                 1.5315,                 1.4413,                 1.7548,             0.00064096,             0.00064096,             0.00064096
                     33,                 0.9525,                0.89284,                 1.2094,                0.68126,                0.72278,                0.71305,                0.41533,                 1.5071,                 1.3727,                 1.6997,              0.0006386,              0.0006386,              0.0006386
